datetime,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,wind_speed,wind_deg,weather_description
2025-05-28 09:00:00,15.1,14.89,1011,85,12.6,0.52,75,3.83,273,light rain
2025-05-28 10:00:00,15.1,14.94,1011,87,12.95,0.98,80,3.37,283,broken clouds
2025-05-28 11:00:00,15,14.88,1011,89,13.2,1.83,85,3.21,283,overcast clouds
2025-05-28 12:00:00,15.09,14.95,1012,88,13.12,0.82,90,3.07,290,light rain
2025-05-28 13:00:00,15.53,15.31,1013,83,12.66,3.66,95,4.3,295,light rain
2025-05-28 14:00:00,15.25,14.95,1014,81,11.14,4.86,100,4.03,297,overcast clouds
2025-05-28 15:00:00,16.54,15.89,1014,63,9.5,5.37,100,4.55,299,overcast clouds
2025-05-28 16:00:00,17.13,16.33,1015,55,8.58,4.38,60,5.25,301,broken clouds
2025-05-28 17:00:00,17.51,16.78,1016,56,8.29,3.13,41,5.3,307,scattered clouds
2025-05-28 18:00:00,16.88,16.14,1017,58,8.16,1.92,30,4.89,307,scattered clouds
2025-05-28 19:00:00,16.91,16.28,1017,62,8.28,0.98,24,4.13,311,few clouds
2025-05-28 20:00:00,16.08,15.52,1018,68,8.6,0.39,20,3.45,309,few clouds
2025-05-28 21:00:00,12.88,12.26,1019,78,9.1,0.11,26,2.73,299,scattered clouds
2025-05-28 22:00:00,10.96,10.41,1019,88,9.05,0,51,1.82,292,broken clouds
2025-05-28 23:00:00,10.47,9.95,1020,91,9.01,0,68,1.55,307,broken clouds
2025-05-29 00:00:00,10.34,9.81,1020,91,8.88,0,76,1.44,280,broken clouds
2025-05-29 01:00:00,10.08,9.52,1021,91,8.64,0,82,1.39,276,broken clouds
2025-05-29 02:00:00,9.74,9.74,1021,91,8.32,0,81,0.9,274,broken clouds
2025-05-29 03:00:00,9.7,9.7,1021,91,8.29,0,94,1.33,254,overcast clouds
2025-05-29 04:00:00,9.82,9.48,1021,91,8.49,0,95,1.47,203,overcast clouds
2025-05-29 05:00:00,9.65,9.02,1021,92,8.45,0,97,1.73,196,overcast clouds
2025-05-29 06:00:00,10.28,9.71,1021,90,8.64,0,98,1.84,192,overcast clouds
2025-05-29 07:00:00,11.2,10.62,1021,86,8.94,0.15,98,2.08,183,overcast clouds
2025-05-29 08:00:00,12.74,12.08,1021,77,8.86,0.4,98,2.53,184,overcast clouds
2025-05-29 09:00:00,14.4,13.78,1021,72,9.46,0.5,100,2.98,190,overcast clouds
2025-05-29 10:00:00,15.54,15.08,1021,74,10.94,0.42,100,4.01,210,overcast clouds
2025-05-29 11:00:00,13.63,13.45,1021,92,12.3,0.58,100,3.81,218,light rain
2025-05-29 12:00:00,13.31,13.12,1020,93,12.22,0.65,100,3.9,215,overcast clouds
2025-05-29 13:00:00,13.37,13.19,1020,93,12.13,0.71,100,4.41,202,overcast clouds
2025-05-29 14:00:00,13.98,13.71,1020,87,11.91,0.54,100,5.25,206,overcast clouds
2025-05-29 15:00:00,14.65,14.34,1019,83,11.84,1.08,100,5.77,213,overcast clouds
2025-05-29 16:00:00,17.3,17.04,1019,75,12.88,1.32,100,6.39,225,overcast clouds
2025-05-29 17:00:00,17.62,17.47,1018,78,13.76,3.17,100,6.14,239,overcast clouds
2025-05-29 18:00:00,17.51,17.38,1018,79,13.9,1.93,100,5.85,238,overcast clouds
2025-05-29 19:00:00,17.35,17.2,1018,79,13.8,1.01,100,5.51,231,overcast clouds
2025-05-29 20:00:00,17.56,17.43,1018,79,13.9,0.38,100,5.52,229,overcast clouds
2025-05-29 21:00:00,16.77,16.67,1018,83,13.82,0.12,71,5.48,230,broken clouds
2025-05-29 22:00:00,15.92,15.81,1018,86,13.54,0,47,5.45,227,scattered clouds
2025-05-29 23:00:00,15.53,15.44,1018,88,13.56,0,47,5.42,230,scattered clouds
2025-05-30 00:00:00,15.37,15.29,1018,89,13.63,0,60,5.35,233,broken clouds
2025-05-30 01:00:00,15.08,15.02,1018,91,13.61,0,63,5.14,234,broken clouds
2025-05-30 02:00:00,14.58,14.55,1018,94,13.6,0,65,4.75,233,broken clouds
2025-05-30 03:00:00,14.16,14.14,1018,96,13.51,0,86,4.37,231,overcast clouds
2025-05-30 04:00:00,13.9,13.88,1018,97,13.39,0,87,4.09,229,overcast clouds
2025-05-30 05:00:00,13.76,13.72,1018,97,13.33,0,91,4.07,230,overcast clouds
2025-05-30 06:00:00,13.71,13.67,1018,97,13.3,0,91,4.01,227,overcast clouds
2025-05-30 07:00:00,14.64,14.59,1018,93,13.45,0.28,80,4.19,228,broken clouds
2025-05-30 08:00:00,16.35,16.23,1019,84,13.64,0.79,69,4.87,237,broken clouds
