datetime,temp,humidity,wind_speed,solar_ghi
2025-05-28 09:00:00,15.1,85,3.83,530.19
2025-05-28 10:00:00,15.1,87,3.37,669.3
2025-05-28 11:00:00,15,89,3.21,780.15
2025-05-28 12:00:00,15.09,88,3.07,853.2
2025-05-28 13:00:00,15.53,83,4.3,882.32
2025-05-28 14:00:00,15.25,81,4.03,865.1
2025-05-28 15:00:00,16.54,63,4.55,802.96
2025-05-28 16:00:00,17.13,55,5.25,701.14
2025-05-28 17:00:00,17.51,56,5.3,568.35
2025-05-28 18:00:00,16.88,58,4.89,416.29
2025-05-28 19:00:00,16.91,62,4.13,259.33
2025-05-28 20:00:00,16.08,68,3.45,115.02
2025-05-28 21:00:00,12.88,78,2.73,15.17
2025-05-28 22:00:00,10.96,88,1.82,0.0
2025-05-28 23:00:00,10.47,91,1.55,0.0
2025-05-29 00:00:00,10.34,91,1.44,0.0
2025-05-29 01:00:00,10.08,91,1.39,0.0
2025-05-29 02:00:00,9.74,91,0.9,0.0
2025-05-29 03:00:00,9.7,91,1.33,0.0
2025-05-29 04:00:00,9.82,91,1.47,0.0
2025-05-29 05:00:00,9.65,92,1.73,5.07
2025-05-29 06:00:00,10.28,90,1.84,83.37
2025-05-29 07:00:00,11.2,86,2.08,220.81
2025-05-29 08:00:00,12.74,77,2.53,376.43
2025-05-29 09:00:00,14.4,72,2.98,531.26
2025-05-29 10:00:00,15.54,74,4.01,670.26
2025-05-29 11:00:00,13.63,92,3.81,781.07
2025-05-29 12:00:00,13.31,93,3.9,854.16
2025-05-29 13:00:00,13.37,93,4.41,883.39
2025-05-29 14:00:00,13.98,87,5.25,866.33
2025-05-29 15:00:00,14.65,83,5.77,804.43
2025-05-29 16:00:00,17.3,75,6.39,702.86
2025-05-29 17:00:00,17.62,78,6.14,570.32
2025-05-29 18:00:00,17.51,79,5.85,418.48
2025-05-29 19:00:00,17.35,79,5.51,261.62
2025-05-29 20:00:00,17.56,79,5.52,117.18
2025-05-29 21:00:00,16.77,83,5.48,16.2
2025-05-29 22:00:00,15.92,86,5.45,0.0
2025-05-29 23:00:00,15.53,88,5.42,0.0
2025-05-30 00:00:00,15.37,89,5.35,0.0
2025-05-30 01:00:00,15.08,91,5.14,0.0
2025-05-30 02:00:00,14.58,94,4.75,0.0
2025-05-30 03:00:00,14.16,96,4.37,0.0
2025-05-30 04:00:00,13.9,97,4.09,0.0
2025-05-30 05:00:00,13.76,97,4.07,5.5
2025-05-30 06:00:00,13.71,97,4.01,84.88
2025-05-30 07:00:00,14.64,93,4.19,222.44
2025-05-30 08:00:00,16.35,84,4.87,378.0
