datetime,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,wind_speed,wind_deg,weather_description
2025-05-16 05:00:00,298.47,299.15,1008,80,294.77,0,18,0.72,105,few clouds
2025-05-16 06:00:00,298.42,298.96,1008,75,293.67,0,18,0.62,104,few clouds
2025-05-16 07:00:00,299.64,299.64,1008,70,293.72,0.35,14,0.77,70,few clouds
2025-05-16 08:00:00,302.08,304.53,1009,63,294.33,1.4,11,1.95,27,few clouds
2025-05-16 09:00:00,305.33,309.17,1009,55,295.14,3.5,8,2.17,25,clear sky
2025-05-16 10:00:00,308.66,312.71,1008,44,290.02,6.31,5,2.39,30,clear sky
2025-05-16 11:00:00,311.01,315.38,1008,38,289.79,9.16,3,2.79,30,clear sky
2025-05-16 12:00:00,312.48,316.74,1008,34,289.52,11.05,2,2.86,36,clear sky
2025-05-16 13:00:00,313.65,317.75,1007,31,289.3,11.36,6,2.78,47,clear sky
2025-05-16 14:00:00,314.04,317.57,1006,29,289.06,10.06,21,2.72,60,few clouds
2025-05-16 15:00:00,313.86,316.75,1005,28,288.85,7.48,27,2.8,73,scattered clouds
2025-05-16 16:00:00,311.45,312.44,1005,28,288.65,4.43,25,2.92,80,scattered clouds
2025-05-16 17:00:00,310.52,311.21,1005,29,288.65,2.02,33,3.09,91,scattered clouds
2025-05-16 18:00:00,309.05,309.67,1005,32,289.01,0.57,42,4.26,85,scattered clouds
2025-05-16 19:00:00,307.78,308.63,1006,36,289.5,0,78,3.56,97,light rain
2025-05-16 20:00:00,305.62,306.52,1007,42,289.87,0,94,1.28,104,light rain
2025-05-16 21:00:00,303.87,304.95,1008,48,290.71,0,97,2.94,100,light rain
2025-05-16 22:00:00,302.49,304.12,1009,56,291.75,0,98,2.67,110,overcast clouds
2025-05-16 23:00:00,301.69,303.56,1009,61,292.44,0,100,1.86,109,overcast clouds
2025-05-17 00:00:00,300.86,302.81,1009,66,292.88,0,92,1.55,101,overcast clouds
2025-05-17 01:00:00,300.22,302.12,1009,70,293.12,0,0,1.16,101,clear sky
2025-05-17 02:00:00,299.74,299.74,1009,73,293.25,0,36,0.88,69,scattered clouds
2025-05-17 03:00:00,299.56,299.56,1009,73,293.1,0,50,0.85,31,scattered clouds
2025-05-17 04:00:00,299.36,299.36,1009,72,292.77,0,63,0.69,56,broken clouds
2025-05-17 05:00:00,298.91,299.47,1009,74,292.83,0,64,0.55,9,broken clouds
2025-05-17 06:00:00,298.59,299.15,1010,75,292.83,0,56,0.41,1,broken clouds
2025-05-17 07:00:00,299.59,299.59,1010,72,292.88,0.35,84,0.81,45,broken clouds
2025-05-17 08:00:00,300.57,302.63,1011,69,293.16,1.3,94,1.53,39,overcast clouds
2025-05-17 09:00:00,302.29,304.75,1010,62,293.15,3.23,92,1.69,48,overcast clouds
2025-05-17 10:00:00,304.1,306.72,1010,55,292.92,5.86,94,2.1,45,overcast clouds
2025-05-17 11:00:00,305.62,308.14,1009,49,292.72,8.64,95,2.27,57,overcast clouds
2025-05-17 12:00:00,307.15,309.67,1009,44,292.45,10.93,96,2.39,71,overcast clouds
2025-05-17 13:00:00,308.14,310.65,1008,41,292.12,11.01,100,2.5,88,light rain
2025-05-17 14:00:00,307.29,309.36,1007,42,291.69,9.85,100,2.53,106,overcast clouds
2025-05-17 15:00:00,309.09,311.18,1005,37,290.88,7.23,100,4.49,107,overcast clouds
2025-05-17 16:00:00,309.82,310.65,1005,31,289.41,4.27,98,2.35,118,overcast clouds
2025-05-17 17:00:00,301.31,303.72,1008,67,293.63,2.01,98,1.46,180,heavy intensity rain
2025-05-17 18:00:00,298.95,299.54,1008,75,293.19,0.41,98,7.56,155,moderate rain
2025-05-17 19:00:00,299.83,301.15,1008,65,291.58,0,85,2.7,155,overcast clouds
2025-05-17 20:00:00,300.29,301.65,1008,63,291.48,0,92,2.59,180,light rain
2025-05-17 21:00:00,299.93,301.09,1008,62,290.91,0,92,2.58,164,light rain
2025-05-17 22:00:00,299.98,301.02,1008,60,290.47,0,93,0.54,246,overcast clouds
2025-05-17 23:00:00,299.62,299.62,1009,61,290.38,0,83,0.9,354,broken clouds
2025-05-18 00:00:00,298.98,299.26,1009,63,290.43,0,68,0.77,211,broken clouds
2025-05-18 01:00:00,298.69,298.97,1009,64,290.28,0,0,0.69,231,clear sky
2025-05-18 02:00:00,298.73,298.96,1008,62,289.94,0,4,1.37,268,clear sky
2025-05-18 03:00:00,299.13,299.13,1008,59,289.47,0,31,2.02,296,scattered clouds
2025-05-18 04:00:00,298.81,298.97,1008,59,289.23,0,31,1.21,306,scattered clouds
