datetime,temp,humidity,wind_speed,solar_ghi,mrt,utci
2025-05-16 09:00:00,31.97,61,2.14,725.94,53.7482,31.88528285568
2025-05-16 10:00:00,31.44,66,2.5,894.41,58.2723,31.36884900332
2025-05-16 11:00:00,32.6,60,2.81,1005.8,62.774,32.49919034835
2025-05-16 12:00:00,34.35,54,2.85,1050.23,65.8569,34.20648168575
2025-05-16 13:00:00,36.63,46,2.91,1023.82,67.3446,36.43043121663
2025-05-16 14:00:00,38.74,38,2.89,928.88,66.60640000000001,38.488048437470006
2025-05-16 15:00:00,40.8,29,2.88,773.81,64.01429999999999,40.4957909984
2025-05-16 16:00:00,38.98,28,2.97,572.88,56.166399999999996,38.716235421629996
2025-05-16 17:00:00,37.84,28,3.28,346.43,48.2329,37.60147605312001
2025-05-16 18:00:00,36.41,29,5.08,124.97,40.159099999999995,36.20101023812
2025-05-16 19:00:00,35.27,36,3.3,3.4,35.372,35.094746912480005
2025-05-16 20:00:00,32.24,44,2.47,0.0,32.24,32.13979681427
2025-05-16 21:00:00,29.7,48,2.82,0.0,29.7,29.6589464414
2025-05-16 22:00:00,29.35,57,2.3,0.0,29.35,29.322530172000004
2025-05-16 23:00:00,27.89,64,2.68,0.0,27.89,27.898192570920003
2025-05-17 00:00:00,24.69,67,1.49,0.0,24.69,24.77453809567
2025-05-17 01:00:00,26.73,72,1.11,0.0,26.73,26.77105167383
2025-05-17 02:00:00,26.29,74,0.8,0.0,26.29,26.34245524692
2025-05-17 03:00:00,26.16,74,1.17,0.0,26.16,26.21466984587
2025-05-17 04:00:00,25.94,74,2.08,0.0,25.94,25.997856062720004
2025-05-17 05:00:00,25.58,76,0.93,0.0,25.58,25.64909125083
2025-05-17 06:00:00,25.35,77,0.14,77.27,27.668100000000003,25.4262691656
2025-05-17 07:00:00,26.29,73,0.68,288.4,34.942,26.342300225320002
2025-05-17 08:00:00,27.39,69,1.53,516.97,42.899100000000004,27.41399595767
2025-05-17 09:00:00,28.98,63,1.95,726.42,50.7726,28.96444433723
2025-05-17 10:00:00,30.96,55,2.1,894.63,57.7989,30.89539750092
2025-05-17 11:00:00,32.8,49,2.1,1005.87,62.976099999999995,32.690550843000004
2025-05-17 12:00:00,34.21,44,2.3,1050.26,65.7178,34.065432193919996
2025-05-17 13:00:00,35.76,39,1.98,1023.94,66.4782,35.57803449452
2025-05-17 14:00:00,36.71,35,2.58,929.23,64.5869,36.50289903632
2025-05-17 15:00:00,36.22,33,4.91,774.41,59.452299999999994,36.018183824430004
2025-05-17 16:00:00,32.57,45,5.59,573.71,49.7813,32.45671286423
2025-05-17 17:00:00,24.77,78,4.25,347.63,35.198899999999995,24.851656612230002
2025-05-17 18:00:00,22.85,80,5.82,126.35,26.640500000000003,22.972909750400003
2025-05-17 19:00:00,24.56,70,4.01,3.65,24.6695,24.643766352670003
2025-05-17 20:00:00,25.79,66,2.41,0.0,25.79,25.84729558727
2025-05-17 21:00:00,26.44,65,1.96,0.0,26.44,26.48298909392
2025-05-17 22:00:00,26.33,64,0.84,0.0,26.33,26.377271162279996
2025-05-17 23:00:00,25.99,63,1.14,0.0,25.99,26.04394363472
2025-05-18 00:00:00,25.74,59,0.67,0.0,25.74,25.798700288270005
2025-05-18 01:00:00,25.11,62,0.12,0.0,25.11,25.185507654920002
2025-05-18 02:00:00,24.69,63,0.7,0.0,24.69,24.774344040320003
2025-05-18 03:00:00,24.81,62,1.28,0.0,24.81,24.890006667719998
2025-05-18 04:00:00,24.7,61,1.34,0.0,24.7,24.781923892600002
2025-05-18 05:00:00,24.59,61,0.17,0.0,24.59,24.676756012869998
2025-05-18 06:00:00,24.39,61,0.25,78.39,26.7417,24.481138575270002
2025-05-18 07:00:00,25.58,56,0.63,289.53,34.265899999999995,25.64096161283
2025-05-18 08:00:00,27.08,53,1.35,517.81,42.6143,27.10396249043
