datetime,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,wind_speed,wind_deg,weather_description
2025-05-16 09:00:00,305.12,310.46,1009,61,296.66,3.5,4,2.14,29,clear sky
2025-05-16 10:00:00,304.59,310.68,1009,66,297.47,6.31,4,2.5,29,clear sky
2025-05-16 11:00:00,305.75,311.66,1009,60,296.97,9.16,4,2.81,31,clear sky
2025-05-16 12:00:00,307.5,313.81,1009,54,296.85,11.05,4,2.85,40,clear sky
2025-05-16 13:00:00,309.78,316.06,1008,46,296.27,11.36,11,2.91,44,few clouds
2025-05-16 14:00:00,311.89,317.32,1007,38,295.01,10.06,17,2.89,49,few clouds
2025-05-16 15:00:00,313.95,317.39,1005,29,288.83,7.48,18,2.88,56,few clouds
2025-05-16 16:00:00,312.13,313.6,1005,28,288.62,4.43,17,2.97,68,few clouds
2025-05-16 17:00:00,310.99,311.68,1005,28,288.52,2.02,31,3.28,84,light rain
2025-05-16 18:00:00,309.56,309.69,1005,29,288.41,0.57,39,5.08,95,scattered clouds
2025-05-16 19:00:00,308.42,309.7,1006,36,289,0,72,3.3,93,light rain
2025-05-16 20:00:00,305.39,306.57,1007,44,289.92,0,85,2.47,136,light rain
2025-05-16 21:00:00,302.85,303.48,1008,48,290.39,0,92,2.82,104,overcast clouds
2025-05-16 22:00:00,302.5,304.3,1009,57,291.84,0,94,2.3,103,overcast clouds
2025-05-16 23:00:00,301.04,302.88,1009,64,292.67,0,94,2.68,119,overcast clouds
2025-05-17 00:00:00,297.84,298.11,1009,67,292.87,0,81,1.49,99,broken clouds
2025-05-17 01:00:00,299.88,301.7,1009,72,293.29,0,4,1.11,89,clear sky
2025-05-17 02:00:00,299.44,299.44,1009,74,293.47,0,6,0.8,74,clear sky
2025-05-17 03:00:00,299.31,299.31,1009,74,293.18,0,14,1.17,2,few clouds
2025-05-17 04:00:00,299.09,299.67,1009,74,293.16,0,31,2.08,340,scattered clouds
2025-05-17 05:00:00,298.73,299.33,1010,76,293.15,0,41,0.93,355,scattered clouds
2025-05-17 06:00:00,298.5,299.1,1010,77,293.02,0,44,0.14,324,scattered clouds
2025-05-17 07:00:00,299.44,299.44,1010,73,293.06,0.35,80,0.68,57,broken clouds
2025-05-17 08:00:00,300.54,302.58,1011,69,293.33,1.3,85,1.53,44,overcast clouds
2025-05-17 09:00:00,302.13,304.62,1011,63,293.41,3.23,91,1.95,50,overcast clouds
2025-05-17 10:00:00,304.11,306.74,1010,55,293.11,5.86,88,2.1,39,overcast clouds
2025-05-17 11:00:00,305.95,308.77,1009,49,292.77,8.64,84,2.1,51,broken clouds
2025-05-17 12:00:00,307.36,310.07,1009,44,292.47,10.93,85,2.3,71,overcast clouds
2025-05-17 13:00:00,308.91,311.49,1008,39,291.86,11.01,60,1.98,74,broken clouds
2025-05-17 14:00:00,309.86,311.96,1007,35,290.86,9.85,72,2.58,88,light rain
2025-05-17 15:00:00,309.37,310.47,1005,33,289.74,7.23,79,4.91,105,broken clouds
2025-05-17 16:00:00,305.72,307.34,1007,45,290.37,4.27,85,5.59,316,moderate rain
2025-05-17 17:00:00,297.92,298.49,1008,78,292.43,2.01,88,4.25,120,heavy intensity rain
2025-05-17 18:00:00,296,296.43,1010,80,291.05,0.41,90,5.82,144,heavy intensity rain
2025-05-17 19:00:00,297.71,298.05,1010,70,290.86,0,100,4.01,190,light rain
2025-05-17 20:00:00,298.94,299.3,1008,66,291.06,0,100,2.41,182,light rain
2025-05-17 21:00:00,299.59,299.59,1007,65,291.36,0,91,1.96,230,overcast clouds
2025-05-17 22:00:00,299.48,299.48,1008,64,291.04,0,76,0.84,204,broken clouds
2025-05-17 23:00:00,299.14,299.14,1008,63,290.45,0,69,1.14,219,broken clouds
2025-05-18 00:00:00,298.89,299.06,1008,59,289.28,0,62,0.67,320,broken clouds
2025-05-18 01:00:00,298.26,298.45,1009,62,289.5,0,16,0.12,70,few clouds
2025-05-18 02:00:00,297.84,298.01,1009,63,289.27,0,14,0.7,274,few clouds
2025-05-18 03:00:00,297.96,298.12,1009,62,289.05,0,14,1.28,280,few clouds
2025-05-18 04:00:00,297.85,297.97,1009,61,288.85,0,11,1.34,276,few clouds
2025-05-18 05:00:00,297.74,297.85,1009,61,288.65,0,14,0.17,320,few clouds
2025-05-18 06:00:00,297.54,297.63,1009,61,288.43,0,17,0.25,133,few clouds
2025-05-18 07:00:00,298.73,298.81,1010,56,288.43,0.35,94,0.63,107,overcast clouds
2025-05-18 08:00:00,300.23,300.84,1010,53,288.92,1.36,77,1.35,90,broken clouds
