datetime,temp,humidity,wind_speed,solar_ghi
2025-05-23 07:00:00,24.76,83,1.14,293.8
2025-05-23 08:00:00,25.1,81,1.24,520.57
2025-05-23 09:00:00,25.66,77,1.25,728.27
2025-05-23 10:00:00,27.24,70,1.85,895.15
2025-05-23 11:00:00,29.02,61,2.42,1005.68
2025-05-23 12:00:00,32.84,51,2.88,1050.05
2025-05-23 13:00:00,32.45,47,3.08,1024.43
2025-05-23 14:00:00,33.33,43,3.06,931.05
2025-05-23 15:00:00,33.79,41,3.24,778.14
2025-05-23 16:00:00,33.87,40,4.8,579.69
2025-05-23 17:00:00,33.33,41,5.78,355.59
2025-05-23 18:00:00,32.21,42,5.41,135.04
2025-05-23 19:00:00,30.62,43,3.94,5.22
2025-05-23 20:00:00,29.54,47,3.57,0.0
2025-05-23 21:00:00,27.98,56,4.09,0.0
2025-05-23 22:00:00,26.66,62,3.16,0.0
2025-05-23 23:00:00,25.89,65,1.81,0.0
2025-05-24 00:00:00,25.25,69,1.54,0.0
2025-05-24 01:00:00,24.77,72,1.23,0.0
2025-05-24 02:00:00,24.33,73,1.07,0.0
2025-05-24 03:00:00,23.95,76,0.53,0.0
2025-05-24 04:00:00,23.61,77,0.73,0.0
2025-05-24 05:00:00,23.41,78,0.44,0.0
2025-05-24 06:00:00,23.24,79,0.45,83.81
2025-05-24 07:00:00,24.07,76,0.71,294.52
2025-05-24 08:00:00,25.47,70,1.39,521.02
2025-05-24 09:00:00,27.12,63,2.17,728.47
2025-05-24 10:00:00,28.66,58,2.23,895.18
2025-05-24 11:00:00,30.39,51,2,1005.63
2025-05-24 12:00:00,32.23,45,2.16,1050.05
2025-05-24 13:00:00,33.6,40,2.44,1024.59
2025-05-24 14:00:00,34.72,37,2.58,931.45
2025-05-24 15:00:00,35.21,35,2.69,778.84
2025-05-24 16:00:00,35.21,34,2.92,580.73
2025-05-24 17:00:00,34.82,35,4.6,356.95
2025-05-24 18:00:00,33.81,38,4.86,136.49
2025-05-24 19:00:00,32.35,40,3,5.5
2025-05-24 20:00:00,30.92,41,1.97,0.0
2025-05-24 21:00:00,29.72,45,3.05,0.0
2025-05-24 22:00:00,28.52,53,2.96,0.0
2025-05-24 23:00:00,27.44,58,2.36,0.0
2025-05-25 00:00:00,26.39,63,1.34,0.0
2025-05-25 01:00:00,26.03,64,1.02,0.0
2025-05-25 02:00:00,25.85,62,1.4,0.0
2025-05-25 03:00:00,25.16,64,0.71,0.0
2025-05-25 04:00:00,24.84,67,0.69,0.0
2025-05-25 05:00:00,24.5,69,1,0.0
2025-05-25 06:00:00,24.33,71,1.53,84.53
