datetime,temp,humidity,wind_speed,solar_ghi
2025-05-28 02:00:00,25.32,82,1.14,0.0
2025-05-28 03:00:00,24.93,83,1.26,0.0
2025-05-28 04:00:00,24.48,84,1.18,0.0
2025-05-28 05:00:00,23.38,85,1.44,0.0
2025-05-28 06:00:00,23.23,85,0.85,86.26
2025-05-28 07:00:00,24.43,81,1.24,296.42
2025-05-28 08:00:00,24.98,72,1.64,521.85
2025-05-28 09:00:00,27.07,65,2.32,728.4
2025-05-28 10:00:00,28.3,60,3.05,894.53
2025-05-28 11:00:00,23.26,56,3.3,1004.8
2025-05-28 12:00:00,33.4,52,3.21,1049.47
2025-05-28 13:00:00,31.58,49,2.84,1024.7
2025-05-28 14:00:00,32.33,47,2.96,932.6
2025-05-28 15:00:00,32.53,46,3.62,781.28
2025-05-28 16:00:00,31.83,49,4.28,584.57
2025-05-28 17:00:00,31.24,51,4.35,362.03
2025-05-28 18:00:00,30.86,53,4.27,142.06
2025-05-28 19:00:00,29.12,59,4.54,6.8
2025-05-28 20:00:00,28.45,61,4.47,0.0
2025-05-28 21:00:00,27.84,62,2.01,0.0
2025-05-28 22:00:00,26.87,63,2.95,0.0
2025-05-28 23:00:00,25.65,67,2.37,0.0
2025-05-29 00:00:00,25.26,69,1.77,0.0
2025-05-29 01:00:00,24.42,74,0.97,0.0
2025-05-29 02:00:00,24.25,76,1.1,0.0
2025-05-29 03:00:00,24.05,77,0.69,0.0
2025-05-29 04:00:00,23.8,79,0.54,0.0
2025-05-29 05:00:00,23.52,82,0.86,0.01
2025-05-29 06:00:00,23.18,84,0.59,86.78
2025-05-29 07:00:00,23.93,82,0.67,296.83
2025-05-29 08:00:00,24.8,79,1.21,522.03
2025-05-29 09:00:00,26.45,71,1.63,728.35
2025-05-29 10:00:00,27.92,65,2.08,894.34
2025-05-29 11:00:00,29.66,58,2.34,1004.6
2025-05-29 12:00:00,30.78,53,2.2,1049.37
2025-05-29 13:00:00,32.11,47,2.15,1024.78
2025-05-29 14:00:00,33.2,44,3.11,932.96
2025-05-29 15:00:00,34.51,39,4.71,781.98
2025-05-29 16:00:00,34.76,37,5.65,585.61
2025-05-29 17:00:00,34.43,37,5.98,363.33
2025-05-29 18:00:00,33.21,41,6.09,143.46
2025-05-29 19:00:00,31.82,45,5.2,7.16
2025-05-29 20:00:00,29.4,53,5.5,0.0
2025-05-29 21:00:00,27.89,58,4.4,0.0
2025-05-29 22:00:00,27.3,59,3.06,0.0
2025-05-29 23:00:00,26.99,60,2.21,0.0
2025-05-30 00:00:00,26.49,62,1.5,0.0
2025-05-30 01:00:00,25.85,65,1.14,0.0
