heat_conditions,mitigation_measures,other
heat stress,acclimatization,heat
heat exposure,air conditioning,humidity
stress,shade,temperature
heat waves,ventilation,wbgt
occupational heat stress,protective clothing,the workplace
heat illness,fans,temperatures
high temperatures,rest breaks,heat index
heat stroke,ppe,air temperature
thermal comfort,heat acclimation,the temperature
thermal stress,,workplaces
the heat stress,,construction workers
heat exhaustion,,core temperature
occupational heat exposure,,body temperature
extreme temperatures,,ambient temperature
workplace heat exposure,,agricultural workers
high temperature,,core body temperature
environmental heat,,the air temperature
rising temperatures,,workers’ health
extreme heat exposure,,ambient temperatures
high ambient temperature,,the heat index
,,skin temperature
