datetime,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,wind_speed,wind_deg,weather_description
2025-05-27 01:00:00,301.25,302.86,1010,61,293.02,0,0,0.79,142,clear sky
2025-05-27 02:00:00,301.18,302.64,1010,60,292.69,0,0,0.33,157,clear sky
2025-05-27 03:00:00,300.7,301.77,1009,58,291.7,0,0,0.58,294,clear sky
2025-05-27 04:00:00,300.03,300.76,1009,55,290.23,0,0,0.24,306,clear sky
2025-05-27 05:00:00,298.77,298.85,1009,56,289.35,0,0,0.34,43,clear sky
2025-05-27 06:00:00,298.87,299.01,1010,58,286.84,0,0,0.42,335,clear sky
2025-05-27 07:00:00,298.04,298.1,1011,58,288.3,0.39,3,1.59,16,clear sky
2025-05-27 08:00:00,299.2,299.2,1013,61,289.85,1.5,4,1.47,49,clear sky
2025-05-27 09:00:00,300.32,301.37,1013,59,290.85,3.63,3,1.88,60,clear sky
2025-05-27 10:00:00,302.49,304.12,1014,56,291.62,6.54,2,2.03,89,clear sky
2025-05-27 11:00:00,304.5,306.57,1013,51,291.66,9.35,2,2.11,86,clear sky
2025-05-27 12:00:00,303.18,303.79,1013,47,291.59,11.22,4,2.76,90,clear sky
2025-05-27 13:00:00,306.49,308.45,1012,44,291.51,11.58,14,3.64,95,few clouds
2025-05-27 14:00:00,307.04,309.18,1011,43,291.52,10.27,18,4.24,96,few clouds
2025-05-27 15:00:00,307.13,309.07,1011,42,291.43,7.71,19,4.86,86,few clouds
2025-05-27 16:00:00,306.81,308.76,1010,43,291.63,4.69,19,4.04,83,few clouds
2025-05-27 17:00:00,306.33,308.68,1010,46,292.1,2.2,21,4.57,91,few clouds
2025-05-27 18:00:00,305.27,307.74,1010,50,292.65,0.71,20,5.81,94,few clouds
2025-05-27 19:00:00,303.84,306.45,1011,56,292.85,0.11,44,5.31,99,scattered clouds
2025-05-27 20:00:00,302.76,305.25,1011,60,292.75,0,60,5.04,107,light rain
2025-05-27 21:00:00,301.5,304.07,1013,67,293.49,0,72,6.03,121,light rain
2025-05-27 22:00:00,301.15,303.43,1013,67,293.29,0,69,2.59,116,broken clouds
2025-05-27 23:00:00,300.51,302.43,1013,68,292.98,0,72,2.46,117,broken clouds
2025-05-28 00:00:00,299.83,301.41,1012,69,292.65,0,63,2.61,112,broken clouds
2025-05-28 01:00:00,299.07,299.57,1012,71,292.4,0,35,1.73,101,scattered clouds
2025-05-28 02:00:00,298.3,298.8,1012,74,292.31,0,21,2.21,99,few clouds
2025-05-28 03:00:00,297.44,297.91,1012,76,291.81,0,18,1.49,95,few clouds
2025-05-28 04:00:00,296.96,297.38,1012,76,291.44,0,16,0.82,90,few clouds
2025-05-28 05:00:00,296.67,297.06,1013,76,291.22,0,16,0.63,82,few clouds
2025-05-28 06:00:00,296.53,296.91,1013,76,290.84,0,17,0.74,92,few clouds
2025-05-28 07:00:00,297.22,297.56,1014,72,290.83,0.34,100,1.18,77,overcast clouds
2025-05-28 08:00:00,298.2,298.56,1015,69,291.07,1.26,100,1.81,67,overcast clouds
2025-05-28 09:00:00,299.72,299.72,1015,63,291.01,2.82,85,1.92,85,overcast clouds
2025-05-28 10:00:00,301.24,302.4,1015,57,290.94,3.56,71,2.58,88,broken clouds
2025-05-28 11:00:00,302.6,303.84,1015,53,291.12,6.28,76,3.33,91,broken clouds
2025-05-28 12:00:00,303.27,304.71,1014,52,291.28,10.11,77,3.73,87,broken clouds
2025-05-28 13:00:00,304.11,305.51,1013,49,291.24,10.83,63,3.66,85,broken clouds
2025-05-28 14:00:00,305.21,306.49,1012,45,290.76,9.48,83,3.8,84,broken clouds
2025-05-28 15:00:00,306.15,307.38,1011,42,290.75,7.08,86,3.83,88,overcast clouds
2025-05-28 16:00:00,306.48,307.93,1010,42,291.1,4.5,67,5.25,103,broken clouds
2025-05-28 17:00:00,305.97,307.78,1009,45,291.46,2.06,58,6.21,101,broken clouds
2025-05-28 18:00:00,304.99,306.99,1010,49,291.8,0.7,64,5.87,101,broken clouds
2025-05-28 19:00:00,303.83,305.82,1010,53,291.96,0.1,100,5.88,117,overcast clouds
2025-05-28 20:00:00,302.91,304.98,1011,57,292.14,0,100,5.22,119,light rain
2025-05-28 21:00:00,302.29,304.26,1011,59,292.14,0,97,5.71,134,overcast clouds
2025-05-28 22:00:00,301.2,302.9,1012,62,292.01,0,98,3.61,115,overcast clouds
2025-05-28 23:00:00,300.04,301.59,1013,67,292.28,0,91,2.39,103,overcast clouds
2025-05-29 00:00:00,299.6,299.6,1013,69,292.43,0,84,1.41,109,broken clouds
