datetime,temp,humidity,wind_speed,solar_ghi,mrt,pa,utci,heat_risk_score,shift,Heat_Risk_Score,Measure 1,Measure 2,Measure 3,Measure 4
2025-05-28 01:00:00,25.88,83,1.91,0.0,25.88,2.770256171054356,35.78792646584699,3,0,3,Drink at least 1 glass of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-28 02:00:00,25.54,84,1.14,0.0,25.54,2.747608304922309,37.07852406182816,3,0,3,Drink at least 1 glass of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-28 03:00:00,24.9,85,1.26,0.0,24.9,2.676288518057264,35.81643011863501,3,0,3,Drink at least 1 glass of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-28 04:00:00,24.31,85,1.18,0.0,24.31,2.583420786861726,34.94439340047612,3,0,3,Drink at least 1 glass of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-28 05:00:00,22.85,85,1.44,0.0,22.85,2.3656392550757843,31.81386615255008,2,0,2,Drink at least 1 glass of water during this hour,,,
2025-05-28 06:00:00,22.75,85,0.85,86.26,25.3378,2.3513297408329663,34.006212500172865,3,0,3,Drink at least 1 glass of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-28 07:00:00,24.48,80,1.24,296.42,33.3726,2.456362722944621,37.86636042935396,3,0,3,Drink at least 1 glass of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-28 08:00:00,24.98,72,1.64,521.85,40.6355,2.277828438433369,39.23054095237941,4,1,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-28 09:00:00,27.07,65,2.32,728.39,48.9217,2.327361047937804,42.45971158109151,4,1,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-28 10:00:00,28.3,60,3.05,894.51,55.1353,2.308633283179324,43.90247895284534,4,1,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-28 11:00:00,23.26,56,3.3,1004.79,53.4037,1.5977189556923177,36.085786481521225,3,1,3,Drink at least 1 glass of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-28 12:00:00,33.4,52,3.21,1049.46,64.8838,2.6781290617952043,52.27133305854254,5,1,5,Cool your body with a shower,Drink at least 2 glasses of water during this hour,No physical activity,
2025-05-28 13:00:00,31.58,49,2.84,1024.69,62.3207,2.27706535168433,48.976012057691065,5,1,5,Cool your body with a shower,Drink at least 2 glasses of water during this hour,No physical activity,
2025-05-28 14:00:00,32.33,47,2.96,932.61,60.3083,2.279018521575568,48.3473783856744,5,1,5,Cool your body with a shower,Drink at least 2 glasses of water during this hour,No physical activity,
2025-05-28 15:00:00,32.53,46,3.62,781.3,55.969,2.2558819279584785,45.1251890092215,4,1,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-28 16:00:00,31.83,49,4.28,584.58,49.3674,2.309635980190208,40.87502072122925,4,1,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-28 17:00:00,31.24,51,4.35,362.04,42.1012,2.3245722040782915,37.55716914197062,3,1,3,Drink at least 1 glass of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-28 18:00:00,30.86,53,4.27,142.06,35.1218,2.363896843232968,34.9389334043084,3,0,3,Drink at least 1 glass of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-28 19:00:00,29.12,59,4.54,6.8,29.324,2.3808638995259552,31.099205072039435,2,0,2,Drink at least 1 glass of water during this hour,,,
2025-05-28 20:00:00,28.45,61,4.47,0.0,28.45,2.367694003146752,30.453769462334343,2,0,2,Drink at least 1 glass of water during this hour,,,
2025-05-28 21:00:00,27.84,62,2.01,0.0,27.84,2.3224177124641154,35.18119633711726,3,0,3,Drink at least 1 glass of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-28 22:00:00,26.87,63,2.95,0.0,26.87,2.2293704442915923,31.633335079016284,2,0,2,Drink at least 1 glass of water during this hour,,,
2025-05-28 23:00:00,25.65,67,2.37,0.0,25.65,2.205915731741917,31.63076373136033,2,0,2,Drink at least 1 glass of water during this hour,,,
2025-05-29 00:00:00,25.26,69,1.77,0.0,25.26,2.219671273444235,32.67522452033063,3,0,3,Drink at least 1 glass of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-29 01:00:00,24.42,74,0.97,0.0,24.42,2.2639803504994136,33.88828245111564,3,0,3,Drink at least 1 glass of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-29 02:00:00,24.25,76,1.1,0.0,24.25,2.3015809556541,33.62135603392527,3,0,3,Drink at least 1 glass of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-29 03:00:00,24.05,77,0.69,0.0,24.05,2.304021109028766,34.3643714323232,3,0,3,Drink at least 1 glass of water during this hour,Make use of shade,Reduce physical activity during this hour,
