datetime,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,wind_speed,wind_deg,weather_description
2025-05-28 15:00:00,32.65,37.97,1007,58,23.31,3.55,75,3.3,214,broken clouds
2025-05-28 16:00:00,32.51,37.97,1007,59,23.46,2.4,71,3.11,218,broken clouds
2025-05-28 17:00:00,32.14,37.72,1007,61,23.67,1.09,71,2.28,216,broken clouds
2025-05-28 18:00:00,31.41,36.57,1006,63,23.51,0.27,74,1.68,202,broken clouds
2025-05-28 19:00:00,30.78,35.9,1007,66,23.69,0,80,1.45,170,broken clouds
2025-05-28 20:00:00,29.52,33.48,1008,68,24.01,0,86,1.65,125,overcast clouds
2025-05-28 21:00:00,28.54,31.91,1009,71,24.05,0,100,1.98,122,overcast clouds
2025-05-28 22:00:00,28.59,32.18,1009,72,24.15,0,100,2.23,127,overcast clouds
2025-05-28 23:00:00,28.74,32.69,1010,73,24.17,0,100,2.42,133,overcast clouds
2025-05-29 00:00:00,28.1,31.43,1010,74,24.25,0,100,2.91,127,overcast clouds
2025-05-29 01:00:00,27.56,30.29,1010,74,24.09,0,100,2.58,117,overcast clouds
2025-05-29 02:00:00,30.19,36.55,1009,74,24.05,0,100,2.15,104,overcast clouds
2025-05-29 03:00:00,28.96,33.4,1008,74,24.05,0,100,2.42,106,overcast clouds
2025-05-29 04:00:00,28.94,33.55,1008,75,24.14,0,100,2.25,122,overcast clouds
2025-05-29 05:00:00,28.77,33.32,1007,76,24.3,0,100,2.25,131,light rain
2025-05-29 06:00:00,28.67,33.08,1008,76,24.36,0,100,1.78,165,moderate rain
2025-05-29 07:00:00,28.43,32.67,1009,77,24.15,0,100,2.92,179,moderate rain
2025-05-29 08:00:00,28.72,33.2,1010,76,24.12,0.43,100,3.47,181,moderate rain
2025-05-29 09:00:00,29.23,33.85,1011,73,24.04,0.89,100,3.9,172,light rain
2025-05-29 10:00:00,28.83,33.09,1011,74,23.9,1.33,100,3.11,173,light rain
2025-05-29 11:00:00,28.44,32.18,1011,74,23.56,2.28,100,3.95,149,moderate rain
2025-05-29 12:00:00,27.75,31.08,1011,77,23.38,2.6,100,4.85,149,light rain
2025-05-29 13:00:00,27.76,30.83,1010,75,23.07,3.38,100,3.48,123,overcast clouds
2025-05-29 14:00:00,28.04,31.16,1009,73,22.9,3.19,100,2.13,103,overcast clouds
2025-05-29 15:00:00,28.04,30.88,1009,71,22.51,2.02,100,0.38,127,overcast clouds
2025-05-29 16:00:00,28.16,31.12,1008,71,22.55,1.27,100,1.17,104,overcast clouds
2025-05-29 17:00:00,28.23,31.26,1007,71,22.7,0.52,100,1.63,116,overcast clouds
2025-05-29 18:00:00,28.27,31.35,1008,71,22.75,0.12,100,1.79,152,overcast clouds
2025-05-29 19:00:00,28.41,31.64,1009,71,22.84,0,100,1.55,147,overcast clouds
2025-05-29 20:00:00,28.5,31.83,1009,71,22.89,0,100,0.97,131,overcast clouds
2025-05-29 21:00:00,28.57,32.14,1010,72,23.27,0,100,1.88,137,overcast clouds
2025-05-29 22:00:00,28.39,32.07,1011,74,23.49,0,100,2.06,141,overcast clouds
2025-05-29 23:00:00,28.34,31.96,1011,74,23.54,0,100,1.55,133,overcast clouds
2025-05-30 00:00:00,28.29,32.01,1011,75,23.68,0,100,1.98,127,overcast clouds
2025-05-30 01:00:00,28.16,32.02,1011,77,23.75,0,99,1.89,123,light rain
2025-05-30 02:00:00,28.02,31.69,1010,77,23.79,0,98,1.94,118,light rain
2025-05-30 03:00:00,27.59,30.97,1010,79,23.86,0,100,2.1,134,moderate rain
2025-05-30 04:00:00,27.32,30.46,1010,80,23.61,0,100,1.28,153,moderate rain
2025-05-30 05:00:00,27.72,31.27,1009,79,23.98,0,100,1.99,115,light rain
2025-05-30 06:00:00,27.93,31.78,1009,79,24.12,0,100,2.84,128,light rain
2025-05-30 07:00:00,27.8,31.6,1010,80,24.23,0,100,3.18,121,light rain
2025-05-30 08:00:00,27.65,31.37,1011,81,24.24,0.31,100,2.34,113,moderate rain
2025-05-30 09:00:00,28.71,33.17,1012,76,24.21,1.12,54,2.47,128,moderate rain
2025-05-30 10:00:00,28.89,33.23,1012,74,24.08,1.91,77,2.76,141,moderate rain
2025-05-30 11:00:00,28.96,33.4,1012,74,24.13,3.91,85,2.18,139,light rain
2025-05-30 12:00:00,28.88,33.21,1012,74,24.05,8.48,89,2.69,162,light rain
2025-05-30 13:00:00,29.61,33.68,1011,68,23.28,9.88,91,2.69,151,overcast clouds
2025-05-30 14:00:00,29.76,33.58,1011,66,22.84,10.36,92,1.61,175,overcast clouds
