datetime,temp,humidity,wind_speed,solar_ghi,mrt,pa,utci,heat_risk_score,shift,Heat_Risk_Score,Measure 1,Measure 2,Measure 3,Measure 4
2025-05-28 15:00:00,32.65,58,3.3,754.44,55.2832,2.8637047256240384,48.760600119692135,5,1,5,Cool your body with a shower,Drink at least 2 glasses of water during this hour,No physical activity,
2025-05-28 16:00:00,32.51,59,3.11,556.47,49.2041,2.8901475250068884,46.822330844967816,5,1,5,Cool your body with a shower,Drink at least 2 glasses of water during this hour,No physical activity,
2025-05-28 17:00:00,32.14,61,2.28,324.43,41.8729,2.9262412237382387,45.74695998647307,4,1,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-28 18:00:00,31.41,63,1.68,95.41,34.2723,2.899474464990951,43.51415574434811,4,0,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-28 19:00:00,30.78,66,1.45,0.0,30.78,2.930286321187682,42.435593054625606,4,0,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-28 20:00:00,29.52,68,1.65,0.0,29.52,2.808236260292288,40.12685377739665,4,0,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-28 21:00:00,28.54,71,1.98,0.0,28.54,2.770303194722898,38.22943157030272,4,0,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-28 22:00:00,28.59,72,2.23,0.0,28.59,2.8174985289037084,37.95567620724798,3,0,3,Drink at least 1 glass of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-28 23:00:00,28.74,73,2.42,0.0,28.74,2.8816287067089967,38.00197486790904,4,0,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-29 00:00:00,28.1,74,2.91,0.0,28.1,2.8143159819503545,35.924818334254056,3,0,3,Drink at least 1 glass of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-29 01:00:00,27.56,74,2.58,0.0,27.56,2.7268836956999505,35.694110772962354,3,0,3,Drink at least 1 glass of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-29 02:00:00,30.19,74,2.15,0.0,30.19,3.176225487991709,41.539168944579885,4,0,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-29 03:00:00,28.96,74,2.42,0.0,28.96,2.958619758857597,38.61171508959056,4,0,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-29 04:00:00,28.94,75,2.25,0.0,28.94,2.9951268745062487,39.16328202365589,4,0,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-29 05:00:00,28.77,76,2.25,0.0,28.77,3.005280724242445,39.04921985740829,4,0,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-29 06:00:00,28.67,76,1.78,0.0,28.67,2.987881883380441,39.92373878065654,4,0,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-29 07:00:00,28.43,77,2.92,81.94,30.8882,2.985252708955029,38.08050109462512,4,0,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
2025-05-29 08:00:00,28.72,76,3.47,307.55,37.9465,2.996570273939386,39.876288365569415,4,1,4,Drink at least 2 glasses of water during this hour,Make use of shade,Reduce physical activity during this hour,
